k,sample,time,theta_0,theta_1,theta_2,theta_3
3,16,237.320454120636,0.23217669129371643,0.3640885055065155,0.8310865163803101,0.30588579177856445
3,17,209.5756332874298,0.9998999834060669,0.8752502799034119,0.47859200835227966,0.08381041139364243
3,18,238.74473214149475,0.9998999834060669,0.7026242017745972,0.7140832543373108,9.999999747378752e-05
3,19,236.88685536384583,0.5833967328071594,0.634299099445343,0.832610547542572,9.999999747378752e-05
4,1,229.54664540290833,0.8355819582939148,0.6158474683761597,0.6943729519844055,9.999999747378752e-05
4,2,232.65500354766846,0.9998999834060669,0.602578341960907,0.6634470224380493,9.999999747378752e-05
4,3,222.57053661346436,0.9499131441116333,0.42549437284469604,0.6842827796936035,9.999999747378752e-05
4,4,221.6490569114685,0.9003749489784241,0.461472749710083,0.5415765643119812,9.999999747378752e-05
4,5,227.27975964546204,0.9998999834060669,0.5734966397285461,0.6004446148872375,9.999999747378752e-05
4,6,231.97575688362122,0.7787955403327942,0.5087747573852539,0.8343996405601501,9.999999747378752e-05
4,7,223.11504340171814,0.9998999834060669,0.4348001778125763,0.6768513321876526,9.999999747378752e-05
4,8,237.61876797676086,0.8431113362312317,0.6002216935157776,0.7594689130783081,9.999999747378752e-05
4,9,239.51367688179016,0.8597941398620605,0.406414657831192,0.7935006618499756,9.999999747378752e-05
4,10,228.70232248306274,0.9470330476760864,0.6769804954528809,0.5164475440979004,9.999999747378752e-05
4,11,225.45077300071716,0.9998999834060669,0.5373779535293579,0.526584267616272,9.999999747378752e-05
4,12,231.11813926696777,0.9998999834060669,0.6544122099876404,0.6642621755599976,9.999999747378752e-05
4,13,231.4637427330017,0.8777420520782471,0.7282040119171143,0.5242599248886108,9.999999747378752e-05
4,14,221.68797063827515,0.9998999834060669,0.404854416847229,0.5866413712501526,9.999999747378752e-05
4,15,230.8347887992859,0.9558178782463074,0.6711099743843079,0.5977802872657776,9.999999747378752e-05
4,16,224.0455527305603,0.9998999834060669,0.6216688752174377,0.5608222484588623,9.999999747378752e-05
4,17,230.42034363746643,0.9807716012001038,0.6759384870529175,0.607422411441803,9.999999747378752e-05
4,18,234.2946982383728,0.819525957107544,0.6612496376037598,0.5788291096687317,9.999999747378752e-05
4,19,225.1012156009674,0.8448503017425537,0.6346089243888855,0.5753086805343628,9.999999747378752e-05
5,1,230.81744480133057,0.9752763509750366,0.6999309062957764,0.5820032358169556,0.026000749319791794
5,2,235.7327082157135,0.9998999834060669,0.6906888484954834,0.58540940284729,9.999999747378752e-05
5,3,235.72389698028564,0.8175156116485596,0.741085946559906,0.5936084389686584,9.999999747378752e-05
5,4,234.44390678405762,0.9998999834060669,0.6283140182495117,0.5321776270866394,9.999999747378752e-05
5,5,237.51497888565063,0.9674496054649353,0.7194098234176636,0.44120997190475464,9.999999747378752e-05
5,6,233.79093551635742,0.9998999834060669,0.6261864304542542,0.6376612186431885,9.999999747378752e-05
5,7,234.93142175674438,0.9998999834060669,0.5898674726486206,0.6388586759567261,9.999999747378752e-05
5,8,232.17645406723022,0.960298478603363,0.6931389570236206,0.6592361927032471,9.999999747378752e-05
5,9,235.82891035079956,0.9470617771148682,0.5600310564041138,0.657169759273529,9.999999747378752e-05
5,10,231.90359473228455,0.9998999834060669,0.43752822279930115,0.5964798331260681,0.0866442322731018
5,11,230.84936547279358,0.9998999834060669,0.5661395788192749,0.5825057625770569,0.015416674315929413
5,12,230.91630673408508,0.9998999834060669,0.640824019908905,0.5233246684074402,9.999999747378752e-05
